"cluster","pd","lgd dwt","ead","num ctp","sett","is","acca","cod type","cod stato","lgd pag"
"613110_385",0.0050625755,0.2523002045,14263.0008411368,7874,13,0.3,0.0003599032,0,0,0.2144011927
"005113_46647",0.0192875484,0.2052906677,5627.51346163677,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005107_54756",0.0010022497,0.1770468884,151658.71583963,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005113_69539",0.0192875484,0.2052906677,118969.152730704,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"010113_2110",0.0192886197,0.359507159,61191.3757128265,6624,10,0.3,0.0004541616,0,0,0.3354096329
"012114_111",0.0309278061,0.375078942,21730.9806415437,393,12,0.3,0.0044119794,0,0,0.353315929
"005113_35126",0.0192875484,0.2052906677,25404.4129383074,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005111_518",0.0077907016,0.2131025561,16524.6695949873,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005116_28584",0.0719020006,0.2380512773,88706.6230179199,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005113_70179",0.0192875484,0.2052906677,81195.0190591036,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005116_28376",0.0719020006,0.2380512773,30987.8972088221,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005106_11964",0.0006999989,0.1701066993,24168.9617919157,288177,5,0.3,4.76813e-05,0,0,0.1366911003
"005108_35317",0.001698804,0.1845801877,194999.169832878,418091,5,0.3,1.72258e-05,0,0,0.150151248
"610109_3896",0.0027198264,0.2444973574,7198.79614551792,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005109_57094",0.0027976946,0.194392398,29749.0391880539,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005116_32290",0.0719020006,0.2380512773,12203.9134807526,301041,5,0.3,2.21565e-05,0,0,0.2022362627
"005109_21934",0.0027976946,0.194392398,20776.8412640349,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005108_12554",0.001698804,0.1845801877,36459.3443031094,418091,5,0.3,1.72258e-05,0,0,0.150151248
"005109_31627",0.0027976946,0.194392398,136639.180760819,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"017310_3",0.0053918401,0.5442404512,286394.647795266,6,17,0.3266813024,0.2365062707,0,0,0.5261007661
"005115_4015",0.0407148977,0.2298021679,32627.6187381463,198294,5,0.3,5.23093e-05,0,0,0.1945576752
"005107_27206",0.0010022497,0.1770468884,118809.566168998,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005107_101073",0.0010022497,0.1770468884,62781.331456828,473315,5,0.3,9.4484e-06,0,0,0.1409145217
"005103_23558",3e-04,0.1829700477,225268.512382889,401848,5,0.3,4.119e-05,0,0,0.1483535962
"019111_12",0.007776243,0.3395798102,201915.682326414,319,19,0.3,0.0115397197,0,0,0.3181683299
"610107_595",0.001071826,0.2380831173,33784.238795769,13825,10,0.3,0.0002789534,0,0,0.2032434268
"613118_182",0.2863052851,0.2813462854,12830.4695135478,3072,13,0.3,0.0018849262,0,0,0.2461973592
"005115_16176",0.0407148977,0.2298021679,6038.33660545814,198294,5,0.3,5.23093e-05,0,0,0.1945576752
"005108_19859",0.001698804,0.1845801877,93541.1610652283,418091,5,0.3,1.72258e-05,0,0,0.150151248
"614107_1226",0.001199144,0.2989157638,57186.2350468727,6061,14,0.3,0.0004433778,0,0,0.2688385211
"005113_18514",0.0192875484,0.2052906677,65549.1716139528,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005109_17864",0.0027976946,0.194392398,7404.49540770243,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"010109_6627",0.0029333702,0.2917150744,891660.896160074,37718,10,0.3,0.0001115956,0,0,0.2597947567
"013116_97",0.0813243073,0.326651277,3646130.32204774,723,13,0.3,0.0042184697,0,0,0.3060295129
"005109_32924",0.0027976946,0.194392398,34643.2504491495,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"005109_47081",0.0027976946,0.194392398,6280.37434115883,446020,5,0.3,9.9417e-06,0,0,0.1584937769
"610109_8466",0.0027198264,0.2444973574,18537.2915135134,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"610109_4201",0.0027198264,0.2444973574,13032.0707668231,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"005113_34860",0.0192875484,0.2052906677,8655.91021566006,373889,5,0.3,1.1033e-05,0,0,0.1686317579
"005111_54849",0.0077907016,0.2131025561,15577.9953073855,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005111_74382",0.0077907016,0.2131025561,19450.6557417346,422315,5,0.3,8.844e-06,0,0,0.1762346968
"610109_7962",0.0027198264,0.2444973574,24032.4192063311,54007,10,0.3,5.39604e-05,0,0,0.2033755871
"010111_2692",0.0078877416,0.3623583664,101700.613942286,6995,10,0.3,0.0002757108,0,0,0.3377475249
"005111_64711",0.0077907016,0.2131025561,84318.4882480368,422315,5,0.3,8.844e-06,0,0,0.1762346968
"005113_53611",0.0192875484,0.2052906677,12459.8678561248,373889,5,0.3,1.1033e-05,0,0,0.1686317579
